#Nnodes	depth	mean_depth	Leaves_mean_depth
16	8	5.5625	6.75
16	8	5.5625	6.875
16	8	5.5625	7
16	8	5.5625	7.16667
16	8	5.5625	7.28571
16	8	5.5625	7.33333
16	8	5.5	6.71429
16	8	5.5	6.75
16	8	5.5	6.85714
16	8	5.5	7
16	8	5.5	7.16667
16	8	5	5.85714
16	8	5	5.875
16	8	5	6
16	8	5	6.14286
16	8	5	6.16667
16	8	5.625	6.85714
16	8	5.625	7
16	8	5.625	7.16667
16	8	5.625	7.28571
16	8	5	6.4
16	8	5.6875	7.14286
16	8	5.6875	7.28571
16	8	5.6875	7.5
16	8	5.75	7.25
16	8	5.75	7.8
16	8	5.8125	7.33333
16	8	5.8125	7.5
16	8	5.875	7.83333
16	9	4.25	4.5
16	9	4.25	4.6
16	9	4.5	5.4
16	9	4.5625	5.33333
16	9	4.5625	5.5
16	9	4.625	5.66667
16	9	4.6875	5.33333
16	9	4.75	5.14286
16	9	4.75	5.8
16	9	4.8125	5.33333
16	9	4.8125	5.6
16	9	4.8125	5.66667
16	9	4.8125	5.83333
16	9	4.875	5.4
16	9	4.875	5.57143
16	9	4.875	5.71429
16	9	4.9375	5
16	9	4.9375	6
16	9	5.0625	5.57143
16	9	5.0625	5.85714
16	9	5.0625	6.4
16	9	5.0625	6.75
16	9	5.0625	7.25
16	9	5.125	5.83333
16	9	5.125	6.6
16	9	5.125	7
16	9	5.1875	5.85714
16	9	5.1875	5.875
16	9	5.1875	6
16	9	5.1875	6.33333
16	9	5.1875	6.4
16	9	5.1875	6.66667
16	9	5.1875	6.8
16	9	5.25	5.85714
16	9	5.25	6
16	9	5.25	6.14286
16	9	5.25	6.33333
16	9	5.25	6.8
16	9	5.25	7
16	9	5.3125	6
16	9	5.3125	6.16667
16	9	5.3125	6.28571
16	9	5.3125	6.5
16	9	5.375	6.5
16	9	5.375	6.66667
16	9	5.375	7
16	9	5.4375	7
16	9	5	5.42857
16	9	5.5625	6.42857
16	9	5.5625	7
16	9	5.5625	7.14286
16	9	5.5625	7.16667
16	9	5.5625	7.33333
16	9	5.5	6.42857
16	9	5.5	6.5
16	9	5.5	6.57143
16	9	5.5	6.66667
16	9	5.5	7.16667
16	9	5	5.83333
16	9	5	6
16	9	5.625	6.4
16	9	5.625	6.5
16	9	5.625	7
16	9	5.625	7.14286
16	9	5.6875	6.875
16	9	5.6875	7
16	9	5.6875	7.14286
16	9	5.75	6.83333
16	9	5.75	6.85714
16	9	5.75	7
16	9	5.75	7.16667
16	9	5.8125	6.83333
16	9	5.8125	7
16	9	5.8125	7.125
16	9	5.8125	7.14286
16	9	5.8125	7.16667
16	9	5.8125	7.66667
16	9	5.8125	7.83333
16	9	5.8125	8
16	9	5.875	7.14286
16	9	5.875	7.16667
16	9	5.875	7.5
16	9	5.875	7.8
16	9	5.9375	7.42857
16	9	5.9375	7.66667
16	9	5.9375	7.85714
16	9	5.9375	8.2
16	9	6.0625	7.71429
16	9	6.0625	8
16	9	6.0625	8.6
16	9	6.125	7.83333
16	9	6.125	8
16	9	6.125	8.2
16	9	6.125	8.5
16	9	6.1875	7.83333
16	9	6.1875	8
16	9	6.1875	8.33333
16	9	6.1875	8.4
16	9	6.25	8.16667
16	9	6.25	8.2
16	9	6.25	8.4
16	9	6.3125	8.14286
16	9	6.3125	8.33333
16	9	6.3125	8.4
16	9	6.3125	8.6
16	9	6.4375	8.42857
16	9	6.5	9
16	9	6.6875	9
16	9	6	7.4
16	9	6	7.5
16	9	6	7.66667
16	9	6	7.8
16	9	6	8
32	10	4.6875	5.07692
32	10	5.125	6.07143
32	10	5.625	7.22222
32	10	5.78125	6.57143
32	10	5.8125	6.66667
32	10	5.875	6.35714
32	10	5.875	7.18182
32	10	5.90625	7
32	10	5.96875	6.75
32	10	6.03125	6.75
32	10	6.03125	7.28571
32	10	6.03125	7.7
32	10	6.0625	7
32	10	6.0625	7.07143
32	10	6.09375	7.23077
32	10	6.125	7.5
32	10	6.1875	7.14286
32	10	6.1875	7.21429
32	10	6.21875	6.8
32	10	6.21875	7
32	10	6.21875	7.14286
32	10	6.21875	7.2
32	10	6.28125	7.61538
32	10	6.3125	7.125
32	10	6.40625	7.26667
32	10	6.40625	8
32	10	6.4375	7.57143
32	10	6.5625	7.86667
32	10	6.5625	7.90909
32	10	6.5625	7.92857
32	10	6.5	7.28571
32	10	6.59375	7.78571
32	10	6.625	7.58824
32	10	6.65625	8.16667
32	10	6	6.66667
32	10	6.6875	7.6
32	10	6.6875	7.61538
32	10	6.6875	7.64286
32	10	6.71875	7.28571
32	10	6.75	8.16667
32	10	6.78125	8.16667
32	10	6.8125	7.64286
32	10	6.8125	8
32	10	6.84375	8.25
32	10	6.875	8.07143
32	10	6.875	8.18182
32	10	6.875	8.21429
32	10	6.9375	8.06667
32	10	6.9375	8.28571
32	10	6.9375	8.36364
32	10	6.96875	8.54545
32	10	7.03125	8.46154
32	10	7.125	7.94118
32	10	7.15625	7.8
32	10	7.15625	8.25
32	10	7.15625	8.35714
32	10	7.15625	8.46667
32	10	7.21875	8.5625
32	10	7.25	8.75
32	10	7.28125	8.5
32	10	7.28125	8.61538
32	10	7.3125	8.46667
32	10	7.3125	8.71429
32	10	7.3125	8.75
32	10	7.3125	8.85714
32	10	7.4375	8.76923
32	10	7.4375	9
32	10	7.4375	9.30769
32	10	7.5625	8.66667
32	10	7.65625	8.8125
32	10	7.6875	8.93333
32	10	7.6875	9.23077
32	10	7	8.41667
32	10	7	8.75
32	11	5.8125	6.72727
